Time	ShoulderCenter - Head - Spine	Spine - ShoulderCenter - HipCenter	ElbowRight - WristRight - ShoulderRight	ShoulderRight - ShoulderCenter - ElbowRight	KneeRight - AnkleRight - HipRight	HipRight - HipCenter - KneeRight	ShoulderRight - ShoulderLeft - ElbowRight	ElbowLeft - WristLeft - ShoulderLeft	ShoulderLeft - ShoulderCenter - ElbowLeft	KneeLeft - AnkleLeft - HipLeft	HipLeft - HipCenter - KneeLeft	ShoulderLeft - ShoulderRight - ElbowLeft
c	c	c	c	c	c	c	c	c	c	c	c	c
m												
3.16666700	173.617739403635	138.997762819270	175.758696276340	135.060938963884	178.542007365079	133.698844217297	171.338025646488	173.857648689874	141.123143289000	175.910393220250	133.562503617573	175.815680307653
3.20000000	173.663628654950	139.000365461226	174.677996625552	135.012663419174	178.552801212794	133.731071838630	171.313742297978	173.841732651385	141.156301086825	175.834979015145	133.596953899365	175.833482842407
3.23333300	173.696166294885	139.056036184041	174.667401343808	135.094777744884	178.547313017258	133.705138742852	171.471177814090	173.682955861153	141.034621589423	175.815206987551	133.632512019500	175.772787942104
3.26666700	173.759627547259	139.060676010502	174.697417628068	135.101947714024	178.542781008531	133.728326657531	171.473886016470	173.585219055557	141.042921130733	175.838611378434	133.616576426190	175.802515068308
3.30000000	173.663215834554	139.086732669838	175.516788954047	135.054453044239	178.511360235617	133.796348115560	171.458042234195	173.496485492493	140.961711593853	175.879294251627	133.553258853712	175.788578836611
3.33333300	173.690312374178	139.077650502805	176.529671667510	135.059541473501	178.514023744636	133.827593344422	171.424278451466	173.579602172984	141.024280581526	175.885271631394	133.569912417302	175.848319404548
3.36666700	173.736346659747	139.089503293835	176.621081641541	134.976288639601	178.516085964673	133.847589462624	171.370480822059	173.737033428134	141.094682443351	175.841872184032	133.593998904464	175.921646235691
3.40000000	173.764257045247	139.104800385906	175.822208818169	134.904641649940	178.514114114493	133.889080669704	171.353816602290	173.551969056694	140.937441521601	175.801393648680	133.577393941607	175.777425374992
3.43333300	173.792811513891	139.100498467006	176.686545571753	134.876901543931	178.564371429863	133.974373987857	171.320726197175	173.565130255941	140.998981444692	175.829269084781	133.532827757778	175.827208859701
3.46666700	173.825487351460	139.100486330201	176.813497750621	134.804316018618	178.535759378358	134.025017922712	171.267336176251	173.630394212638	140.977959761702	175.778779881931	133.535351370186	175.804944608577
3.50000000	173.802531953345	139.102167041431	177.024138529924	134.686381507767	178.543751736976	134.007378638941	171.161694487779	173.638343909302	141.031425739291	175.794122756013	133.537559872740	175.824915836824
3.53333300	173.783254156232	139.126152699008	177.540579209344	134.614875483331	178.521329358652	133.988652373519	171.136060475387	173.601539733776	140.861943327092	175.863051734480	133.492370665212	175.719215249567
3.56666700	173.813404867826	139.131593885928	177.567561146462	134.577156670469	178.495466722891	134.014907265357	171.093834603753	173.642825836220	140.886745965010	175.832222887094	133.502561441258	175.733111299484
3.60000000	173.801495839476	139.180958195845	177.614790995810	134.390240130619	178.440901929698	134.002723482348	171.011792998584	173.621257769525	140.776201317211	175.839975406380	133.457841569088	175.700910583524
3.63333300	173.799107647383	139.197479606864	177.483783655608	134.346390719770	178.405082514214	134.043614587746	171.064391935770	173.329770412674	140.492587658840	175.815672916112	133.432843626679	175.469520962755
3.66666700	173.840378021198	139.202512006460	177.530636152687	134.308818033329	178.397512177882	134.025530023607	171.034295940037	174.758926132930	140.365182734358	175.812882628164	133.416715976427	175.422237521169
3.70000000	173.842406917936	139.201235576540	177.479624396342	134.299786083029	178.388729434281	134.003712150915	171.018121581939	173.853159546584	140.365277042702	175.791159253501	133.476177835390	175.398010152767
3.73333300	173.886326695925	139.187821633731	177.412280016053	134.298857019968	178.393591768405	134.001720961912	170.932799809043	173.418885324205	140.459365393388	175.793935237074	133.535337847075	175.479925121276
3.76666700	173.872059117956	139.193555005638	177.364490870459	134.182012097477	178.337240849337	133.990000292000	170.814184063417	173.373838232945	140.516680751412	175.789632107548	133.605274678026	175.556565971095
3.80000000	173.873421210426	139.207060145882	176.353706129071	133.907912912831	178.307996390556	133.976567112044	170.640217108622	173.253588743300	140.491449232320	175.862735108244	133.659861360987	175.563710585486
3.83333300	173.915914897432	139.240130746410	176.459872808378	133.724375151159	178.246188664711	134.021581555351	170.586637568132	173.449830424004	140.466212362501	175.837509749381	133.623538613040	175.564672620728
3.86666700	173.966219251541	139.240200897679	176.439452737465	133.743310981578	178.263752549375	134.017673070743	170.582060170213	173.237188520312	140.481181612710	175.803282068062	133.653767449683	175.572208746981
3.90000000	173.951998431508	139.232618492424	176.406784554033	133.759922604099	178.255578731608	134.014101382411	170.559904697737	173.129058285188	140.641087862933	175.783086313468	133.690175212661	175.628439874321
3.93333300	173.860597426354	139.242999695897	176.406001746879	133.740777173220	178.234206327817	134.063477519346	170.614392798188	173.850738119139	140.493932302758	175.775993096814	133.678731089029	175.494309360217
3.96666700	173.897146214381	139.233298238178	175.680810190850	133.563395861450	178.225661621574	134.065689128075	170.482441903630	173.591536663196	140.638760782603	175.805327241023	133.663405453814	175.604340794769
4.00000000	173.952099008194	139.282611889254	175.654630035441	133.345464795844	178.224988744191	134.103363309078	170.430706646604	172.235783555940	140.570498516052	175.840993225769	133.638977349183	175.595714237759
4.03333300	173.966470855938	139.310510612983	175.682420699338	133.256262046331	178.155241341918	134.084997830066	170.449923812305	173.006577023292	140.479520833957	175.840393930631	133.647597110351	175.549777462228
4.06666700	173.971656862476	139.308193577471	175.627139181016	133.265808298228	178.140872518968	134.098699833397	170.435910222507	172.849161022596	140.573238488000	175.812738637713	133.666265176038	175.589141355676
4.10000000	173.963091656934	139.312860274144	176.703238006895	133.275417319267	178.177808964546	134.122619249403	170.449003634465	171.188167524409	140.642656316601	175.794218704604	133.662221746449	175.536938662117
4.13333300	174.000895609355	139.310433921302	176.552116541277	133.220929677125	178.163519096158	134.119397241860	170.357935558339	172.433397037749	140.650538938468	175.776932765759	133.674951186784	175.521203373288
4.16666700	173.978568364848	139.323824769207	176.651644448909	133.198077979960	178.082833656771	134.156450267326	170.359946333125	172.350979002071	140.553738242491	175.792963930491	133.690724076549	175.479174087031
4.20000000	173.929307482228	139.340261212488	176.660633552106	133.172129980340	178.060776529234	134.140773701813	170.305282862445	172.256374623213	140.470787499853	175.750132028587	133.860101210401	175.446469126515
4.23333300	173.935115362433	139.363740280486	176.568406961593	133.038594165569	178.083533276103	134.127324690546	170.265160645359	172.161762575984	140.337082917526	175.770021252013	133.817536876665	175.349848889285
4.26666700	173.931398197584	139.357656719737	176.509024424349	133.106315872318	178.084513342596	134.147924110623	170.284534835961	172.168299973265	140.285912586803	175.771634855519	133.830926283024	175.295491061113
4.30000000	173.890196810748	139.351135680053	176.613288615076	133.066925150612	178.073206025422	134.176966938456	170.231219968482	172.954669451761	140.397752680175	175.760656723342	133.846711634475	175.376139650157
4.33333300	173.866746425929	139.335354863984	176.509959390116	132.881334695933	178.055782842878	134.190270167954	170.022090782785	172.933603960390	140.411225339131	175.758185978109	133.843588806199	175.466277850217
